Instance,Value,Cost,Base Value,Base Cost,Jobs,Machines
ta001,15039,470,15039,699,20,5
ta002,16658,470,16891,699,20,5
ta003,14960,470,14943,699,20,5
ta004,16795,470,17518,699,20,5
ta005,14307,470,14307,699,20,5
ta006,14464,470,14464,699,20,5
ta007,14885,470,15075,699,20,5
ta008,14993,470,15283,699,20,5
ta009,15589,470,16483,699,20,5
ta010,13983,470,15787,699,20,5
ta011,24263,470,24263,699,20,10
ta012,24660,470,24829,699,20,10
ta013,20931,470,22071,699,20,10
ta014,20590,470,20590,699,20,10
ta015,20751,470,21625,699,20,10
ta016,21742,470,21742,699,20,10
ta017,20375,470,22035,699,20,10
ta018,22312,470,23944,699,20,10
ta019,22054,470,23450,699,20,10
ta020,22209,470,24275,699,20,10
ta021,35809,470,35809,699,20,20
ta022,34059,470,35382,699,20,20
ta023,35865,470,35865,699,20,20
ta024,34356,470,33592,699,20,20
ta025,35796,470,37516,699,20,20
ta026,35917,470,35917,699,20,20
ta027,34656,470,37673,699,20,20
ta028,34554,470,34554,699,20,20
ta029,35743,470,35743,699,20,20
ta030,34221,470,34221,699,20,20
ta031,73018,2660,71847,3984,50,5
ta032,74900,2660,77777,3984,50,5
ta033,71056,2660,70904,3984,50,5
ta034,77079,2660,76666,3984,50,5
ta035,77187,2660,77331,3984,50,5
ta036,71011,2660,73407,3984,50,5
ta037,72101,2660,73464,3984,50,5
ta038,72250,2660,72969,3984,50,5
ta039,70361,2660,68599,3984,50,5
ta040,75407,2660,78154,3984,50,5
ta041,97919,2660,100119,3984,50,10
ta042,93211,2660,92245,3984,50,10
ta043,90412,2660,95469,3984,50,10
ta044,93958,2660,96550,3984,50,10
ta045,94978,2660,95199,3984,50,10
ta046,94932,2660,94311,3984,50,10
ta047,97165,2660,97750,3984,50,10
ta048,96479,2660,97205,3984,50,10
ta049,98975,2660,96897,3984,50,10
ta050,99096,2660,100210,3984,50,10
ta051,138443,2660,138903,3984,50,20
ta052,133712,2660,133939,3984,50,20
ta053,129671,2660,129335,3984,50,20
ta054,132619,2660,131665,3984,50,20
ta055,129891,2660,132660,3984,50,20
ta056,133566,2660,132873,3984,50,20
ta057,134998,2660,135845,3984,50,20
ta058,136105,2660,137466,3984,50,20
ta059,134340,2660,131811,3984,50,20
ta060,138828,2660,137607,3984,50,20
ta061,283143,10310,289385,15459,100,5
ta062,276365,10310,263474,15459,100,5
ta063,266876,10310,266539,15459,100,5
ta064,259128,10310,259159,15459,100,5
ta065,264965,10310,261730,15459,100,5
ta066,256760,10310,255018,15459,100,5
ta067,271210,10310,262590,15459,100,5
ta068,262151,10310,259049,15459,100,5
ta069,276131,10310,274667,15459,100,5
ta070,272298,10310,271756,15459,100,5
ta071,326310,10310,328265,15459,100,10
ta072,306309,10310,310945,15459,100,10
ta073,323190,10310,324216,15459,100,10
ta074,328159,10310,340114,15459,100,10
ta075,323966,10310,321532,15459,100,10
ta076,302559,10310,302055,15459,100,10
ta077,316653,10310,312644,15459,100,10
ta078,326914,10310,319399,15459,100,10
ta079,331368,10310,333751,15459,100,10
ta080,326124,10310,328388,15459,100,10
ta081,402446,10310,401612,15459,100,20
ta082,413912,10310,426781,15459,100,20
ta083,407829,10310,418000,15459,100,20
ta084,417015,10310,403450,15459,100,20
ta085,410200,10310,413331,15459,100,20
ta086,410482,10310,421451,15459,100,20
ta087,428133,10310,419176,15459,100,20
ta088,430456,10310,427192,15459,100,20
ta089,420257,10310,416233,15459,100,20
ta090,435297,10310,430418,15459,100,20
ta092_5,990685,40610,979150,60909,200,5
ta091_5,1016630,40610,1019400,60909,200,5
ta092,1133990,40610,1133010,60909,200,10
ta091,1146980,40610,1137870,60909,200,10
ta093_5,1027080,40610,1014680,60909,200,5
ta093,1134370,40610,1141910,60909,200,10
ta094_5,986635,40610,981445,60909,200,5
ta095_5,1011620,40610,1012990,60909,200,5
ta094,1122320,40610,1111480,60909,200,10
ta095,1121610,40610,1124170,60909,200,10
ta096,1093420,40610,1109380,60909,200,10
ta096_5,998784,40610,987628,60909,200,5
ta097_5,1023040,40610,1036170,60909,200,5
ta098_5,1009030,40610,1006830,60909,200,5
ta097,1177580,40610,1148940,60909,200,10
ta099_5,999284,40610,1009090,60909,200,5
ta098,1134380,40610,1130960,60909,200,10
ta099,1133890,40610,1158160,60909,200,10
ta100_5,1007140,40610,999191,60909,200,5
ta100,1156420,40610,1126760,60909,200,10
ta101_5,1022000,40610,1000720,60909,200,5
ta102_5,1044600,40610,1021340,60909,200,5
ta101,1357900,40610,1371310,60909,200,20
ta102,1349910,40610,1372300,60909,200,20
ta103_5,1065890,40610,1061080,60909,200,5
ta104_5,1012310,40610,1004090,60909,200,5
ta105_5,1001060,40610,984994,60909,200,5
ta106_5,997569,40610,1015340,60909,200,5
ta103,1377410,40610,1395440,60909,200,20
ta104,1361200,40610,1360260,60909,200,20
ta105,1326120,40610,1328120,60909,200,20
ta107_5,985633,40610,990107,60909,200,5
ta106,1327550,40610,1353120,60909,200,20
ta108_5,1017350,40610,1035060,60909,200,5
ta107,1364690,40610,1347920,60909,200,20
ta109_5,1037460,40610,1022900,60909,200,5
ta108,1370120,40610,1389380,60909,200,20
ta110_5,1047410,40610,1058130,60909,200,5
ta109,1347650,40610,1392940,60909,200,20
ta110,1374200,40610,1362920,60909,200,20
ta111_5,6254140,251510,6172020,377259,500,5
ta112_5,6223580,251510,6228090,377259,500,5
ta114_5,6253080,251510,6106320,377259,500,5
ta112_10,6596200,251510,6537990,377259,500,10
ta111_10,6531760,251510,6406330,377259,500,10
ta113_5,6307590,251510,6284920,377259,500,5
ta113_10,6560970,251510,6499360,377259,500,10
ta114_10,6508380,251510,6464860,377259,500,10
ta113,7306920,251510,7164580,377259,500,20
ta112,7216910,251510,7197660,377259,500,20
ta111,7130690,251510,7062500,377259,500,20
ta114,7294380,251510,7229350,377259,500,20
ta115_5,6321510,251510,6274530,377259,500,5
ta116_5,6167500,251510,6105640,377259,500,5
ta117_5,6072370,251510,6104720,377259,500,5
ta115_10,6542230,251510,6440170,377259,500,10
ta116_10,6398810,251510,6415760,377259,500,10
ta115,7185670,251510,7182780,377259,500,20
ta118_5,6240460,251510,6226620,377259,500,5
ta118_10,6517860,251510,6429300,377259,500,10
ta117,7158620,251510,7229380,377259,500,20
ta116,7138490,251510,7209440,377259,500,20
ta117_10,6517980,251510,6433360,377259,500,10
ta119_5,6202000,251510,6161260,377259,500,5
ta120_5,6113730,251510,6112870,377259,500,5
ta118,7209680,251510,7213170,377259,500,20
ta119_10,6486410,251510,6440050,377259,500,10
ta120,7306190,251510,7228210,377259,500,20
ta119,7355020,251510,7193920,377259,500,20
ta120_10,6526920,251510,6556700,377259,500,10
