"Jobs","Machines","diff_avg_value","diff_std_value","diff_avg_cost","diff_std_cost"
20,5,-2.5401642236482,3.6455553411966,-0.32761087267525,0
20,10,-3.87007015543519,3.41215572137181,-0.32761087267525,0
20,20,-1.40579368760616,3.064954226321,-0.32761087267525,0
50,5,-0.85533015443966,2.19627734687398,-0.332329317269076,0
50,10,-0.901794707102662,2.11598684555095,-0.332329317269076,0
50,20,0.0110367988028887,1.11534771199678,-0.332329317269076,0
100,5,0.998187772508327,1.91982628162222,-0.333074584384501,0
100,10,-0.276237818383941,1.59986360126157,-0.333074584384501,0
100,20,-0.0237697076619768,2.13625828224037,-0.333074584384501,0
200,5,0.311536372605752,1.22066974590232,-0.333267661593525,0
200,10,0.286761931442698,1.52608964680831,-0.333267661593525,0
200,20,-0.843857344615888,1.35364909952302,-0.333267661593525,0
500,5,0.615177664776207,0.833489100184826,-0.333322730537906,0
500,10,0.874836042626775,0.764317150328399,-0.333322730537906,0
500,20,0.54663766889896,1.09954829574431,-0.333322730537906,0
