"","Jobs","Machines","old_avg_value","old_std_value","old_avg_cost","old_std_cost"
"1",20,5,15579,1066.69177053793,699,0
"2",20,10,22882.4,1437.47187025617,699,0
"3",20,20,35627.2,1302.61171839074,699,0
"4",50,5,74111.8,3243.67592572241,3984,0
"5",50,10,96595.5,2464.00758701934,3984,0
"6",50,20,134210.4,3110.91230634645,3984,0
"7",100,5,266336.7,10034.5247581648,15459,0
"8",100,10,322130.9,11379.9730760275,15459,0
"9",100,20,417764.4,9624.81599477794,15459,0
"10",200,5,1012016.75,23098.5534563599,60909,0
"11",200,10,1132264,15372.7039477987,60909,0
"12",200,20,1367371,21494.9619161742,60909,0
"13",500,5,6177699,71432.7882153722,377259,0
"14",500,10,6462388,51886.8334401363,377259,0
"15",500,20,7191099,49989.4347615351,377259,0
