"","n","m","l","k","avg_value","std_value","avg_cost","std_cost"
"1",100,990,25,1,46,NA,1326,NA
"2",100,990,25,3,2.44444444444444,0.726483157256779,4402,0
"3",100,990,50,3,18.5714285714286,2.43975018237133,17552,0
"4",100,990,50,6,1,0,51976,0
"5",100,990,100,6,13.1,0.994428926011753,213876,0
"6",100,990,125,6,20.5,1.90029237516523,336076,0
"7",100,2475,50,3,1,NA,17552,NA
"8",200,3980,50,3,6.3,1.33749350984926,17552,0
"9",200,3980,100,6,1.5,0.52704627669473,213876,0
"10",200,3980,200,6,32.7,3.94546152771341,867676,0
"11",200,3980,250,6,47.8,1.92353840616713,1359576,0
"12",200,3980,250,12,1,0,4764121,0
"13",300,8970,75,2,46,1.4142135623731,22801,0
"14",300,8970,75,4,1.25,0.462910049886276,61209,0
"15",300,8970,150,4,34.4,3.09838667696593,246159,0
"16",300,8970,300,9,10.3,1.25166555703457,4059819,0
"17",300,8970,375,9,25.6,1.95505043981536,6368394,0
"18",400,15960,100,3,16.8,2.25092573548455,70102,0
"19",400,15960,200,6,7.2,1.13529242439509,867676,0
"20",400,15960,400,6,74,NA,3495276,NA
"21",400,15960,400,12,1,0,12361471,0
"22",400,15960,500,12,7.5,1.77951304200522,19401371,0
"23",500,24950,125,3,22.1,2.37814119756493,109502,0
"24",500,24950,250,7,2.4,0.843274042711568,1784911,0
"25",500,24950,500,7,71.5,3.06412938514171,7194661,0
"26",500,24950,625,7,113.666666666667,4.72581562625261,11258911,0
"27",500,24950,625,15,1,0,46371165,0
"28",1000,99900,250,3,55.8,3.4253953543107,437752,0
"29",1000,99900,500,7,14.3,1.33749350984926,7194661,0
"30",1000,99900,1000,7,182.5,2.38047614284762,28889161,0
"31",1000,99900,1000,15,1,0,119565915,0
"32",1000,99900,1250,15,10.7,1.25166555703457,187268665,0
