"","Nodes","Labels","avg_val","std_val","avg_cost","std_cost"
"1",100,25,0,0,-39.7485277877034,0.526209668260073
"2",100,50,0,0,-40.1727168089748,0.394347183850782
"3",100,100,0,0,-39.9498067331363,0.101813701825823
"4",100,125,0,0,-39.9068756677092,0.0888823086047331
"5",200,50,0,0,-40.1218849983863,0.0984525165250321
"6",200,100,0,0,-40.197980294107,0.121827268118402
"7",200,200,0,0,-39.9057735584948,0.041251610805322
"8",200,250,0,0,-39.9904619309465,0.113405462183493
"9",300,75,0,0,-40.3736583319338,0.271454739811312
"10",300,150,0,0,-40.0178218700391,0.084426411302707
"11",300,300,0,0,-39.9152383804758,0.0164459042876532
"12",300,375,0,0,-39.8736723019092,0.0266723627634884
"13",400,100,0,0,-39.9452870901824,0.0659129160036377
"14",400,200,0,0,-40.0289025173826,0.0267009202313048
"15",400,400,0,0,-39.9143206325444,0.0247941548919286
"16",400,500,-1,3.16227766016838,-39.8798903891421,0.0140217716428279
"17",500,125,0,0,-39.9678335952501,0.0667256225632327
"18",500,250,0,0,-40.058258919757,0.0374300557709523
"19",500,500,0,0,-39.848480702623,0.0457722828197005
"20",500,625,0,0,-39.8521243563014,0.0266653761602835
"21",1000,250,0,0,-40.0086285245713,0.039728077980835
"22",1000,500,2.41025641025641,8.01434173594081,-39.8854218817624,0.030117347842659
"23",1000,1000,0,0,-39.8328852750881,0.0281613097263842
"24",1000,1250,0,0,-39.7974226293683,0.00483258702424888
