"","Nodes","Labels","Max","avg_val","std_val","avg_cost","std_cost"
"1",100,25,3,0,0,-39.7485277877034,0.526209668260073
"2",100,50,3,0,0,-39.9649838092196,0.251357148794792
"3",100,50,6,0,0,-40.657427141737,0.082466662439085
"4",100,100,6,0,0,-39.9498067331363,0.101813701825823
"5",100,125,6,0,0,-39.9068756677092,0.0888823086047331
"6",200,50,3,0,0,-40.1218849983863,0.0984525165250321
"7",200,100,6,0,0,-40.197980294107,0.121827268118402
"8",200,200,6,0,0,-39.9057735584948,0.041251610805322
"9",200,250,6,0,0,-39.8845159395557,0.0137389492074396
"10",200,250,12,0,0,-40.0964079223373,0.0262041211376067
"11",300,75,2,0,0,-39.8909078384792,0.0572097774657942
"12",300,75,4,0,0,-40.4943459552974,0.105082298312111
"13",300,150,4,0,0,-40.0178218700391,0.084426411302707
"14",300,300,9,0,0,-39.9152383804758,0.0164459042876532
"15",300,375,9,0,0,-39.8736723019092,0.0266723627634884
"16",400,100,3,0,0,-39.9452870901824,0.0659129160036377
"17",400,200,6,0,0,-40.0289025173826,0.0267009202313048
"18",400,400,6,0,NA,-39.8588759861797,NA
"19",400,400,12,0,0,-39.9204811488072,0.0162675850817211
"20",400,500,12,-1,3.16227766016838,-39.8798903891421,0.0140217716428279
"21",500,125,3,0,0,-39.9678335952501,0.0667256225632327
"22",500,250,7,0,0,-40.058258919757,0.0374300557709523
"23",500,500,7,0,0,-39.848480702623,0.0457722828197005
"24",500,625,7,0,0,-39.8198796356985,0.0157713709359794
"25",500,625,15,0,0,-39.8659435222741,0.0155239429697809
"26",1000,250,3,0,0,-40.0086285245713,0.039728077980835
"27",1000,500,7,2.41025641025641,8.01434173594081,-39.8854218817624,0.030117347842659
"28",1000,1000,7,0,0,-39.8016648383656,0.012057714959516
"29",1000,1000,15,0,0,-39.8536988995697,0.00637596045288602
"30",1000,1250,15,0,0,-39.7974226293683,0.00483258702424888
